date,user_id,product,amount
2020-02-25 00:00:00,uu67,продукт 5000,567
2020-02-17 00:00:00,i43, pr18,522
2020-02-16 00:00:00,u2073,-,133
-,u57,fpr11,133
2020-02-10 00:00:00,-,pr30,45555555
2 февраля 2020,u,pr40,486
2020-02-12 00:00:00,u64,-,281
2020-02-19 00:00:00,нет данных,pr57,881
нет данных,u81,pr37,нет данных
2020-02-21 00:00:00,u7,r66,120
2020-02-13 00:00:00,u96,prr61,522
2020-02-03 00:00:00,uuu29,pr73,132
2020-02-07 00:00:00,u38,нет данных,725
2020-02-14 00:00:00,u37,pr70,нет данных
2020-02-22 00:00:00,u53,pr13,долг 100
