customerid,country,total_amount,avg_check,top_product_1,top_product_2,top_product_3,top_product_4,top_product_5,top_product_6,top_product_7,2010_12,2011_1,2011_10,2011_11,2011_12,2011_2,2011_3,2011_4,2011_5,2011_6,2011_7,2011_8,2011_9
17850,United Kingdom,5391.210000000009,158.57,22803,21730,71053,84029G,84029E,82486,22752,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13047,United Kingdom,3237.5400000000013,323.75,84969,22960,22720,48187,47566,21755,22722,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
12583,France,7281.379999999993,485.43,POST,22726,22727,22728,22326,22492,22556,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0
13748,United Kingdom,948.2499999999998,189.65,22086,22084,22423,22950,22734,22839,23354,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
15100,United Kingdom,876.0,292.0,21258,-,-,-,-,-,-,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15291,United Kingdom,4668.300000000002,311.22,82486,22212,21733,22112,48188,21754,22241,2.0,2.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0
14688,United Kingdom,5630.869999999997,268.14,22379,21770,22381,21934,22138,21935,79321,1.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0
17809,United Kingdom,5411.909999999998,450.99,23284,22624,22943,23312,84347,21523,48138,3.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
15311,United Kingdom,60767.90000000014,667.78,85099B,22411,22386,21931,20712,85099C,21137,9.0,10.0,8.0,10.0,3.0,7.0,5.0,6.0,6.0,6.0,8.0,6.0,7.0
16098,United Kingdom,2005.6300000000003,286.52,22926,23094,22411,22782,22726,22381,22783,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
18074,United Kingdom,489.6000000000001,489.6,22470,22424,22469,22428,22457,84755,21340,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17420,United Kingdom,598.8300000000002,199.61,22663,23103,22662,23253,22960,23065,21928,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16029,United Kingdom,81024.84000000003,1286.11,POST,22273,20971,22693,85099B,22386,22149,6.0,5.0,8.0,1.0,0.0,4.0,6.0,2.0,6.0,6.0,4.0,7.0,8.0
16250,United Kingdom,389.44000000000005,194.72,21754,-,21115,23183,22595,22242,-,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12431,Australia,6487.449999999999,432.5,21731,23084,48138,79067,23284,22726,-,2.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0
17511,United Kingdom,91062.37999999998,2937.5,85099B,23298,47566,23203,21931,-,85123A,3.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0
13705,United Kingdom,711.86,237.29,22827,84879,47566,22297,21136,23084,22502,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13747,United Kingdom,79.6,79.6,22180,-,-,-,-,-,-,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13408,United Kingdom,28117.039999999983,453.5,85123A,23201,22910,84879,23298,22294,22411,5.0,3.0,6.0,7.0,3.0,1.0,4.0,6.0,6.0,6.0,3.0,6.0,6.0
13767,United Kingdom,17220.360000000004,465.42,22423,22866,22867,22865,84879,21314,22727,6.0,2.0,1.0,2.0,1.0,3.0,0.0,6.0,5.0,2.0,1.0,3.0,5.0
17924,United Kingdom,2962.5000000000005,423.21,35004B,22942,23157,35004C,23084,84347,23552,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13448,United Kingdom,3539.3700000000013,589.9,22111,22835,22112,23076,23355,-,22865,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
15862,United Kingdom,832.88,208.22,85107,21326,23082,21108,16259,22354,22767,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
15513,United Kingdom,14758.219999999996,776.75,82484,22423,79321,22605,22456,23356,22727,2.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,4.0,1.0,1.0,1.0,2.0
12791,Netherlands,192.60000000000005,192.6,22867,POST,-,-,-,-,-,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16218,United Kingdom,3084.6800000000017,440.67,22469,22383,22197,20725,20728,82486,20727,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0
14045,United Kingdom,1659.75,414.94,37449,20914,47591D,21156,-,-,-,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14307,United Kingdom,2995.7200000000003,499.29,22812,84879,85123A,23007,23314,22178,-,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
17908,United Kingdom,243.27999999999997,243.28,90199C,85169B,85116,22111,84625C,21955,21326,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17920,United Kingdom,4204.099999999987,247.3,22423,22699,23009,22697,84580,-,22077,2.0,1.0,1.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0
12838,United Kingdom,683.1299999999999,341.56,22807,22941,-,21821,23026,22086,-,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13255,United Kingdom,399.5100000000001,199.76,21915,23454,22767,-,23322,23215,22938,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16583,United Kingdom,233.45000000000005,233.45,21715,-,-,21890,-,22969,22357,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18085,United Kingdom,689.9500000000005,344.98,22111,21485,22113,21479,22837,84029E,22139,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13758,United Kingdom,3190.550000000001,455.79,22086,85123A,-,22644,-,22910,21733,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
13694,United Kingdom,65039.620000000024,1300.79,85099B,23199,23201,85099C,47566,23202,-,2.0,3.0,3.0,2.0,3.0,5.0,3.0,6.0,7.0,3.0,3.0,7.0,3.0
15983,United Kingdom,1475.02,368.75,84347,22294,84625C,84879,22113,84754,84625A,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14849,United Kingdom,7930.539999999997,317.22,84879,22423,21122,22961,21121,21485,21977,5.0,1.0,2.0,6.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0
17968,United Kingdom,277.3499999999999,277.35,21814,84879,90200D,22866,22812,22945,22500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16210,United Kingdom,21086.299999999996,1171.46,21137,22041,85123A,22423,22632,-,22666,4.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0
17897,United Kingdom,566.5999999999999,188.87,22803,22960,84658,22624,22838,84347,21370,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17377,United Kingdom,4100.919999999996,205.05,21621,22900,22111,21485,23298,85123A,47566,3.0,0.0,4.0,5.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0
16552,United Kingdom,379.73,189.87,22777,84879,21735,-,22487,22087,-,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17181,United Kingdom,239.92,119.96,21326,84947,22635,22634,-,23356,20828,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17951,United Kingdom,1008.5400000000003,336.18,22633,23439,22865,22866,-,22485,22834,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14729,United Kingdom,313.4899999999999,313.49,21584,21292,22760,21804,-,22583,-,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12748,United Kingdom,33719.73000000025,160.57,M,21843,90154,90149,22071,22070,23356,35.0,4.0,16.0,45.0,9.0,5.0,12.0,6.0,24.0,16.0,13.0,12.0,13.0
15012,United Kingdom,423.03999999999974,211.52,84968C,21664,22776,22749,22138,22429,-,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12868,United Kingdom,1607.0600000000009,267.84,22960,22697,-,21794,84879,22698,21314,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
17572,United Kingdom,226.75000000000009,56.69,72741,-,21106,-,72760B,21111,-,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
